0,3474,1
2,3474,1
3,3474,1
1,3481,2
3,3481,2
1,3481,3
2,3481,3
1,3486,0
2,3490,1
3,3490,1
1,3496,2
1,3496,3
2,3496,3
1,3500,0
0,3504,1
2,3504,1
3,3504,1
1,3512,2
3,3512,2
1,3512,3
2,3512,3
1,3515,0
0,3519,1
2,3519,1
3,3519,1
1,3526,2
3,3526,2
1,3526,3
2,3526,3
1,3530,0
0,3535,1
3,3541,2
1,3545,0
0,3549,1
3,3549,1
1,3557,2
3,3557,2
1,3557,3
2,3557,3
1,3561,0
0,3564,1
2,3564,1
3,3564,1
1,3571,2
3,3571,2
1,3571,3
2,3571,3
1,3575,0
0,3579,1
2,3579,1
3,3579,1
1,3586,2
3,3586,2
2,3586,3
1,3590,0
0,3594,1
2,3594,1
3,3594,1
1,3601,2
3,3601,2
1,3601,3
2,3601,3
1,3605,0
0,3610,1
3,3610,1
1,3616,2
1,3616,3
2,3616,3
1,3620,0
0,3624,1
2,3624,1
3,3624,1
1,3632,2
1,3632,3
2,3632,3
1,3636,0
0,3639,1
1,3646,2
3,3646,2
1,3646,3
2,3646,3
1,3650,0
2,3654,1
3,3654,1
3,3661,2
2,3661,3
1,3665,0
0,3669,1
2,3669,1
3,3669,1
3,3676,2
1,3676,3
2,3676,3
1,3681,0
0,3685,1
2,3685,1
1,3691,2
3,3691,2
1,3691,3
2,3691,3
1,3695,0
0,3699,1
2,3699,1
3,3699,1
3,3707,2
1,3707,3
2,3707,3
1,3710,0
0,3714,1
1,3721,2
1,3721,3
2,3721,3
1,3725,0
0,3729,1
2,3729,1
1,3736,2
3,3736,2
2,3736,3
1,3740,0
0,3744,1
2,3744,1
3,3744,1
1,3752,2
1,3752,3
2,3752,3
1,3756,0
2,3760,1
1,3766,2
3,3766,2
1,3766,3
2,3766,3
1,3770,0
2,3774,1
1,3781,2
3,3781,2
1,3781,3
2,3781,3
0,3789,1
2,3789,1
1,3796,2
3,3796,2
1,3796,3
2,3796,3
1,3800,0
2,3805,1
1,3811,2
1,3811,3
2,3811,3
1,3815,0
0,3819,1
2,3819,1
3,3819,1
1,3827,2
3,3827,2
1,3827,3
2,3827,3
1,3831,0
2,3834,1
3,3834,1
1,3841,2
1,3841,3
1,3845,0
0,3849,1
